AMXMAG_0088___3888	1c
AMXMAG_0088___4270	3d
AMXMAG_0091___1422	3b
AMXMAG_0091___2289	3c
AMXMAG_0094___5059	3b
AMXMAG_0096___2708	3c
AMXMAG_0096___4281	3d
AMXMAG_0096___5321	4b
AMXMAG_0099___1088	1a
AMXMAG_0099___2106	3d
AMXMAG_0114___1856	3d
AMXMAG_0120___2866	3d
AMXMAG_0124___2035	3d
AMXMAG_0131___1265	3b
AMXMAG_0133___191	3d
AMXMAG_0133___4031	1a
AMXMAG_0139___1264	3b
AMXMAG_0139___1398	2a
AMXMAG_0140___1951	3b
AMXMAG_0150___1006	3b
AMXMAG_0160___1203	3d
AMXMAG_0191___1785	3b
AMXMAG_0191___1790	1e
AMXMAG_0220___374	3b
AMXMAG_0243___1093	1e
AMXMAG_0243___2272	3d
AMXMAG_0250___1905	3d
AMXMAG_0278___1017	3b
AMXMAG_0278___450	4g
AMXMAG_0278___780	3d
AMXMAG_0307___1604	4g
AMXMAG_0307___1619	3b
AMXMAG_0307___776	3d
AMXMAG_0355___2589	3c
AMXMAG_0355___355	1l
AMXMAG_0355___4467	3c
AMXMAG_0355___4660	4f
AMXMAG_0355___4793	3d
AMXMAG_0376___1009	3d
AMXMAG_0376___2786	3b
AMXMAG_0379___2386	4g
AMXMAG_0381___17	3d
AMXMAG_0385___1970	4g
AMXMAG_0408___1545	3d
AMXMAG_0408___1700	1d
AMXMAG_0411___713	3b
AMXMAG_0411___996	3d
AMXMAG_0419___1244	3b
AMXMAG_0423___2353	3b
AMXMAG_0444___1408	4e
AMXMAG_0444___274	4b
AMXMAG_0446___2818	3d
AMXMAG_0448___3102	2c
AMXMAG_0463___1415	2b
AMXMAG_0463___2906	1c
AMXMAG_0471___1074	3b
AMXMAG_0479___1185	3d
AMXMAG_0479___1188	2b
AMXMAG_0479___261	1d
AMXMAG_0480___4850	3d
AMXMAG_0493___128	3b
AMXMAG_0495___1842	3b
AMXMAG_0495___1897	4f
AMXMAG_0517___30	3d
AMXMAG_0517___35	4a
AMXMAG_0526___1657	3d
AMXMAG_0526___2309	1c
AMXMAG_0526___4844	3d
AMXMAG_0529___3645	3d
AMXMAG_0552___4116	3d
AMXMAG_0590___2998	2a
AMXMAG_0590___5563	3d
AMXMAG_0590___5575	3c
AMXMAG_0601___2172	1d
AMXMAG_0601___921	2b
AMXMAG_0620___613	1c
AMXMAG_0620___624	3d
AMXMAG_0620___642	1d
AMXMAG_0620___651	2b
AMXMAG_0630___1392	3b
AMXMAG_0632___1966	1c
AMXMAG_0632___3031	3d
AMXMAG_0649___236	3b
AMXMAG_0651___2557	2b
AMXMAG_0651___2563	3b
AMXMAG_0652___2929	3b
AMXMAG_0652___4808	1d
AMXMAG_0658___1185	3d
AMXMAG_0658___4345	3d
AMXMAG_0663___4742	3d
AMXMAG_0663___5348	3c
AMXMAG_0664___796	2b
AMXMAG_0669___1745	3b
AMXMAG_0669___1759	4g
AMXMAG_0669___1820	3d
AMXMAG_0673___144	1e
AMXMAG_0673___666	1c
AMXMAG_0673___674	3d
AMXMAG_0673___694	1d
AMXMAG_0673___703	2b
AMXMAG_0685___2559	3b
AMXMAG_0688___212	3c
AMXMAG_0688___5313	3d
AMXMAG_0688___5327	3d
AMXMAG_0689___365	3c
AMXMAG_0689___970	4g
AMXMAG_0697___3543	4f
AMXMAG_0697___4001	3b
AMXMAG_0704___2139	3b
AMXMAG_0711___1695	3b
AMXMAG_0720___3132	1h
AMXMAG_0720___3548	3d
AMXMAG_0720___6503	1c
AMXMAG_0737___1018	1c
AMXMAG_0740___1913	3b
AMXMAG_0745___2091	3d
AMXMAG_0745___2583	4f
AMXMAG_0746___1989	3b
AMXMAG_0755___1737	2c
AMXMAG_0755___3505	1d
AMXMAG_0755___3712	3d
AMXMAG_0756___2214	3b
AMXMAG_0758___3210	3b
AMXMAG_0759___1131	4f
AMXMAG_0759___3734	3b
AMXMAG_0764___1959	3d
AMXMAG_0766___1039	3b
AMXMAG_0766___1864	3c
AMXMAG_0767___524	3d
AMXMAG_0777___2187	3b
AMXMAG_0781___2904	1d
AMXMAG_0781___3425	1l
AMXMAG_0783___4283	3b
AMXMAG_0792___1461	3d
AMXMAG_0806___7166	3b
AMXMAG_0807___1648	2a
AMXMAG_0809___4183	3b
AMXMAG_0820___2618	3d
AMXMAG_0824___2436	3b
AMXMAG_0830___1385	1d
AMXMAG_0830___2139	1e
AMXMAG_0830___2333	2b
AMXMAG_0830___2930	3d
AMXMAG_0840___2395	1f
AMXMAG_0840___3170	3d
AMXMAG_0840___4790	3d
AMXMAG_0840___6772	2a
AMXMAG_0849___3693	3d
AMXMAG_0859___472	3d
AMXMAG_0859___482	2b
AMXMAG_0859___501	1d
AMXMAG_0887___2168	1c
AMXMAG_0887___773	3d
AMXMAG_0898___842	1d
AMXMAG_0906___2231	3d
AMXMAG_0910___2786	3b
AMXMAG_0911___3145	2b
AMXMAG_0911___3699	1c
AMXMAG_0911___4295	3d
AMXMAG_0917___1932	3d
AMXMAG_0922___1594	2b
AMXMAG_0922___2983	1d
AMXMAG_0922___3286	3d
AMXMAG_0925___4068	3b
AMXMAG_0928___3135	1d
AMXMAG_0928___3155	2b
AMXMAG_0932___2888	1d
AMXMAG_0935___2640	2b
AMXMAG_0947___2071	4g
AMXMAG_0982___2718	3b
AMXMAG_0987___1059	1a
AMXMAG_0987___4175	3d
AMXMAG_1001___2811	3d
AMXMAG_1001___2993	2b
AMXMAG_1021___1503	3c
AMXMAG_1057___101	3d
AMXMAG_1096___792	3d
AMXMAG_1098___2185	1f
AMXMAG_1099___590	3d
AMXMAG_1107___1787	1e
AMXMAG_1115___831	3c
AMXMAG_1126___3125	4g
AMXMAG_1126___3874	3d
AMXMAG_1127___2904	1f
AMXMAG_1130___1173	2d
AMXMAG_1130___1610	1a
AMXMAG_1131___1394	1e
AMXMAG_1140___3270	1d
AMXMAG_1149___523	3b
AMXMAG_1152___1778	3d
AMXMAG_1152___4414	1f
AMXMAG_1161___1578	3d
AMXMAG_1161___1639	4g
AMXMAG_1161___2746	3c
AMXMAG_1166___2134	4g
AMXMAG_1181___4635	4g
AMXMAG_1189___3753	4g
AMXMAG_1191___3441	1c
AMXMAG_1197___1639	4g
AMXMAG_1197___3043	3c
AMXMAG_1197___3882	3b
AMXMAG_1200___1738	1c
AMXMAG_1201___2135	3d
AMXMAG_1205___3922	1c
AMXMAG_1222___3939	3d
AMXMAG_1222___908	4g
AMXMAG_1225___1549	3b
AMXMAG_1262___240	3d
AMXMAG_1262___283	4g
AMXMAG_1282___2981	1c
AMXMAG_1282___2996	3d
AMXMAG_1305___840	3b
AMXMAG_1313___524	3d
AMXMAG_1319___2085	3d
AMXMAG_1332___1462	4e
AMXMAG_1332___1630	3d
AMXMAG_1341___1103	3d
AMXMAG_1357___4563	3b
AMXMAG_1357___939	3d
AMXMAG_1360___1296	4g
AMXMAG_1360___384	3b
AMXMAG_1360___731	3d
AMXMAG_1363___1587	4g
AMXMAG_1363___1598	3b
AMXMAG_1378___2410	3b
AMXMAG_1378___4463	2b
AMXMAG_1378___4467	1d
AMXMAG_1379___1977	1e
AMXMAG_1382___1944	3d
AMXMAG_1383___3405	3b
AMXMAG_1383___3415	3c
AMXMAG_1384___1619	4e
AMXMAG_1384___3661	3c
AMXMAG_1396___2486	1d
AMXMAG_1401___4298	3d
AMXMAG_1410___1187	3d
AMXMAG_1410___3454	4g
AMXMAG_1413___5527	4f
AMXMAG_1413___7444	3d
AMXMAG_1415___1040	2a
AMXMAG_1415___2689	3b
AMXMAG_1415___5787	4g
AMXMAG_1419___446	3d
AMXMAG_1419___934	1a
AMXMAG_1420___1837	3d
AMXMAG_1420___390	4g
AMXMAG_1429___1026	3d
AMXMAG_1429___816	3d
AMXMAG_1430___3579	3d
AMXMAG_1432___2544	2b
AMXMAG_1432___2562	1d
AMXMAG_1433___1090	2c
AMXMAG_1433___2238	1d
AMXMAG_1433___2997	3d
AMXMAG_1433___3292	1e
AMXMAG_1434___1292	1d
AMXMAG_1436___2216	3d
AMXMAG_1457___3219	1h
AMXMAG_1461___7327	3b
AMXMAG_1462___1802	3c
AMXMAG_1462___293	3b
AMXMAG_1472___1290	3c
AMXMAG_1472___2037	3d
AMXMAG_1472___873	3d
AMXMAG_1486___7971	3d
AMXMAG_1500___4061	3d
AMXMAG_1500___4076	3d
AMXMAG_1515___2460	3b
AMXMAG_1517___3015	3b
AMXMAG_1519___1615	3d
AMXMAG_1519___1786	4g
AMXMAG_1519___2163	3b
AMXMAG_1520___2990	3c
AMXMAG_1520___3923	1d
AMXMAG_1530___993	4a
AMXMAG_1548___1328	3d
AMXMAG_1548___1343	3d
AMXMAG_1559___172	1c
AMXMAG_1559___184	3d
AMXMAG_1559___212	2b
AMXMAG_1559___2174	1e
AMXMAG_1562___4687	3d
AMXMAG_1562___4700	3d
AMXMAG_1564___2931	3d
AMXMAG_1564___2940	4g
AMXMAG_1564___3260	3b
AMXMAG_1571___63	3b
AMXMAG_1574___1133	3d
AMXMAG_1574___948	1d
AMXMAG_1581___3389	3b
AMXMAG_1583___5987	3c
AMXMAG_1583___6965	3b
AMXMAG_1583___7815	3c
AMXMAG_1585___3181	3d
AMXMAG_1585___3237	3b
AMXMAG_1585___3249	4g
AMXMAG_1586___2443	3d
AMXMAG_1586___3783	3b
AMXMAG_1586___4620	4g
AMXMAG_1593___341	3b
AMXMAG_1599___2157	3d
AMXMAG_1600___406	3d
AMXMAG_1608___1920	4f
AMXMAG_1608___3055	4e
AMXMAG_1612___534	3b
AMXMAG_1614___1389	2b
AMXMAG_1614___1409	1d
AMXMAG_1614___3667	3d
AMXMAG_1616___1344	3c
AMXMAG_1616___2792	3b
AMXMAG_1617___647	2c
AMXMAG_1620___231	3d
AMXMAG_1621___131	1d
AMXMAG_1621___1832	2b
AMXMAG_1621___507	3b
AMXMAG_1623___3520	4g
AMXMAG_1623___5640	4f
AMXMAG_1624___1573	3b
AMXMAG_1625___1911	3d
AMXMAG_1625___5703	3b
AMXMAG_1628___2952	1f
AMXMAG_1628___407	3b
AMXMAG_1630___2247	1l
AMXMAG_1637___1613	1c
AMXMAG_1637___1805	3d
AMXMAG_1637___3509	2b
AMXMAG_1682___2548	3b
AMXMAG_1682___3618	3c
AMXMAG_1689___539	4f
AMXMAG_1701___980	3d
AMXMAG_1705___3028	4f
BCRBG_00009___483	1a
BCRBG_00012___2230	4g
BCRBG_00012___3113	3c
BCRBG_00020___577	1a
BCRBG_00024___1473	3b
BCRBG_00024___1671	4g
BCRBG_00026___1755	4g
BCRBG_00027___272	3b
BCRBG_00037___3141	1a
BCRBG_00038___1603	3c
BCRBG_00046___2313	3c
BCRBG_00061___1925	1a
BCRBG_00061___2683	4g
BCRBG_00072___3366	3b
BCRBG_00081___1156	3c
BCRBG_00082___1024	3c
BCRBG_00082___1414	1a
BCRBG_00082___2482	1a
BCRBG_00084___2802	1a
BCRBG_00084___687	4g
BCRBG_00085___1528	4g
BCRBG_00085___547	3b
BCRBG_00092___1100	3c
BCRBG_00092___1106	1a
BCRBG_00105___1400	3b
BCRBG_00106___2112	4g
BCRBG_00109___397	4g
BCRBG_00110___1883	3d
BCRBG_00112___799	3c
BCRBG_00113___2330	3c
BCRBG_00113___3526	3b
BCRBG_00115___1349	1a
BCRBG_00117___1176	1a
BCRBG_00122___1320	4g
BCRBG_00122___1538	3c
BCRBG_00123___1335	4g
BCRBG_00130___1589	4d
BCRBG_00130___1706	3b
BCRBG_00134___2352	4g
BCRBG_00136___59	3b
BCRBG_00138___166	1a
BCRBG_00138___641	4d
BCRBG_00138___648	3c
BCRBG_00150___1678	3d
BCRBG_00150___2089	3b
BCRBG_00154___1270	3b
BCRBG_00160___132	3c
BCRBG_00275___1171	3b
BCRBG_00281___1124	3c
BCRBG_00284___617	1f
BCRBG_00296___540	3c
BCRBG_00296___712	3d
BCRBG_00300___1082	4g
BCRBG_00300___448	3c
BCRBG_00300___832	3b
BCRBG_00335___1450	3c
BCRBG_00371___698	3d
BCRBG_00375___792	3d
BCRBG_00393___1121	4g
BCRBG_00393___1123	4g
BCRBG_00393___170	4g
BCRBG_00404___489	3c
BCRBG_00404___967	4b
BCRBG_00405___1264	3b
BCRBG_00405___914	4g
BCRBG_00413___1011	3d
BCRBG_00414___1197	4b
BCRBG_00415___1794	4g
BCRBG_00434___138	4h
BCRBG_00434___1415	4d
BCRBG_00434___814	3a
BCRBG_00443___288	3c
BCRBG_00452___1329	1a
BCRBG_00463___172	3c
BCRBG_00463___512	3d
BCRBG_00463___540	1a
BCRBG_00465___1079	4g
BCRBG_00467___1454	3c
BCRBG_00474___3588	4g
BCRBG_00474___3620	3b
BCRBG_00482___2541	4g
BCRBG_00482___2634	1a
BCRBG_00491___1610	3c
BCRBG_00491___1752	3b
BCRBG_00522___1686	1a
BCRBG_00522___899	4g
BCRBG_00531___2295	1k
BCRBG_00531___665	4e
BCRBG_00542___1278	4f
BCRBG_00542___1594	1d
BCRBG_00544___807	4g
BCRBG_00547___318	1a
BCRBG_00550___686	4g
BCRBG_00554___1251	3b
BCRBG_00554___344	3d
BCRBG_00562___2495	4e
BCRBG_00568___4413	1c
BCRBG_00617___1484	3c
BCRBG_00622___2818	3b
BCRBG_00700___508	3b
BCRBG_00747___903	3d
BCRBG_00750___221	3b
BCRBG_00752___1166	3d
BCRBG_00752___1300	4g
BCRBG_00759___121	3d
BCRBG_00759___1369	3c
BCRBG_00761___1691	3c
BCRBG_00765___4253	3d
BCRBG_00766___1621	4f
BCRBG_00766___2257	4b
BCRBG_00766___2268	3c
BCRBG_00768___2083	3c
BCRBG_00769___3260	3d
BCRBG_00771___2444	1a
BCRBG_00771___721	1c
BCRBG_00775___3261	3b
BCRBG_00775___3266	1c
BCRBG_00781___2539	3c
BCRBG_00782___4238	3c
BCRBG_00782___98	3b
BCRBG_00787___1	3d
BCRBG_00788___1159	3c
BCRBG_00788___2017	3d
BCRBG_00796___211	3d
BCRBG_00796___5294	3c
BCRBG_00798___3131	3d
BCRBG_00801___253	3d
BCRBG_00801___3733	1a
BCRBG_00802___281	1a
BCRBG_00802___2945	3b
BCRBG_00802___6	4f
BCRBG_00809___1778	1a
BCRBG_00809___2743	3b
BCRBG_00809___913	3d
BCRBG_00813___2411	1e
BCRBG_00814___125	3b
BCRBG_00814___74	3c
BCRBG_00815___637	3c
BCRBG_00817___1086	1a
BCRBG_00817___1494	3c
BCRBG_00817___384	1c
BCRBG_00818___1708	3b
BCRBG_00818___703	1f
BCRBG_00821___111	3b
BCRBG_00827___1233	1a
BCRBG_00827___1290	4g
BCRBG_00835___1216	3d
BCRBG_00835___1353	3c
BCRBG_00835___257	1b
BCRBG_00836___1278	3c
BCRBG_00836___1768	3c
BCRBG_00836___1812	3b
BCRBG_00836___191	1a
BCRBG_00837___1731	4b
BCRBG_00844___2511	1b
BCRBG_00844___3008	3d
BCRBG_00844___3789	4e
BCRBG_00844___4003	3c
BCRBG_00845___1996	4g
BCRBG_00845___4418	3d
BCRBG_00845___621	3b
BCRBG_00847___2468	3c
BCRBG_00848___1700	4g
BCRBG_00848___813	4g
BCRBG_00848___826	3c
BCRBG_00849___1082	3c
BCRBG_00849___2060	3b
BCRBG_00849___2569	1a
BCRBG_00855___3211	4e
BCRBG_00855___371	3c
BCRBG_00857___732	3c
BCRBG_00858___1838	3c
BCRBG_00858___1940	3b
BCRBG_00862___533	3b
BCRBG_00864___1203	3b
BCRBG_00867___2940	3d
BCRBG_00868___1931	1f
BCRBG_00868___2135	4g
BCRBG_00870___4124	4g
BCRBG_00879___394	3c
BCRBG_00879___588	3b
BCRBG_00884___445	3d
BCRBG_00885___2324	3b
BCRBG_00886___900	3b
BCRBG_00889___1775	1e
BCRBG_00889___2287	3b
BCRBG_00894___1135	3b
BCRBG_00903___1152	3b
BCRBG_00903___729	4g
BCRBG_01079___652	4b
BCRBG_01079___683	3c
BCRBG_01086___1881	3b
BCRBG_01090___2787	3b
BCRBG_01095___1803	3b
BCRBG_01095___244	1a
BCRBG_01097___1246	3b
BCRBG_01098___1811	3c
BCRBG_01098___1965	3c
BCRBG_01099___2282	4g
BCRBG_01099___812	3b
BCRBG_01100___432	3b
BCRBG_01101___4193	3c
BCRBG_01182___267	4f
BCRBG_01204___735	3b
BCRBG_01247___1099	3d
BCRBG_01368___435	4f
BCRBG_01410___3644	3d
BCRBG_01410___3884	2b
BCRBG_01410___3942	1c
BCRBG_01528___279	3b
BCRBG_01675___1571	4g
BCRBG_01739___122	1a
BCRBG_01756___2469	3d
BCRBG_01756___902	3d
BCRBG_01770___2044	1d
BCRBG_01798___10	3b
BCRBG_01828___95	3d
BCRBG_01852___173	3c
BCRBG_01924___1094	3c
BCRBG_01924___1404	1b
BCRBG_01924___3889	3b
BCRBG_01927___1253	4e
BCRBG_01931___305	3b
BCRBG_01939___239	4e
BCRBG_01955___2166	3d
BCRBG_01960___192	3b
BCRBG_01962___1651	4e
BCRBG_01962___1973	4h
BCRBG_01962___443	3a
BCRBG_01967___212	3b
BCRBG_01970___689	4g
BCRBG_01973___116	4f
BCRBG_01990___124	4e
BCRBG_01990___1881	1b
BCRBG_01990___2067	1a
BCRBG_01991___1622	3c
BCRBG_02000___3058	4g
BCRBG_02005___1823	4e
BCRBG_02008___756	4g
BCRBG_02016___237	3d
BCRBG_02023___2048	1d
BCRBG_02025___1268	2c
BCRBG_02025___3309	1a
BCRBG_02025___407	1a
BCRBG_02041___1077	3b
BCRBG_02042___4571	3c
BCRBG_02059___414	1c
BCRBG_02064___1506	3b
BCRBG_02064___294	3c
BCRBG_02071___1299	4d
BCRBG_02081___1992	4g
BCRBG_02093___1346	4d
BCRBG_02110___86	3b
BCRBG_02119___3017	3b
BCRBG_02120___1074	4g
BCRBG_02122___1378	4g
BCRBG_02123___375	3c
BCRBG_02127___3805	3c
BCRBG_02131___720	4g
BCRBG_02135___1097	3c
BCRBG_02135___1715	3b
BCRBG_02137___2241	1a
BCRBG_02138___1091	4d
BCRBG_02138___483	3b
BCRBG_02150___21	3c
BCRBG_02150___611	1a
BCRBG_02151___16	3c
BCRBG_02151___1825	3d
BCRBG_02152___2589	3d
BCRBG_02154___259	1f
BCRBG_02154___296	3b
BCRBG_02160___2239	4g
BCRBG_02162___1173	1a
BCRBG_02162___779	4g
BCRBG_02163___4137	3b
BCRBG_02182___449	3b
BCRBG_02183___1630	1a
BCRBG_02183___29	3b
BCRBG_02184___1252	4g
BCRBG_02184___127	3d
BCRBG_02184___93	3c
BCRBG_02191___1070	3d
BCRBG_02191___2342	1e
BCRBG_02191___3085	1d
BCRBG_02191___644	2b
BCRBG_02200___1456	3c
BCRBG_02200___4440	3b
BCRBG_02200___5291	4g
BCRBG_02200___709	3b
BCRBG_02202___2213	3c
BCRBG_02203___1103	4b
BCRBG_02218___844	4b
BCRBG_02227___614	4g
BCRBG_02243___1425	1a
BCRBG_02243___3023	3b
BCRBG_02260___1674	4f
BCRBG_02272___229	3c
BCRBG_02272___622	3a
BCRBG_02272___711	4i
BCRBG_02318___16	1a
BCRBG_02318___2580	3d
BCRBG_02318___2634	1a
BCRBG_02323___1453	1b
BCRBG_02323___1531	3d
BCRBG_02339___481	4g
BCRBG_02348___1046	4g
BCRBG_02348___563	4g
BCRBG_02349___717	3d
BCRBG_02354___54	4g
BCRBG_02358___1267	4e
BCRBG_02374___396	3b
BCRBG_02378___1635	1f
BCRBG_02378___41	3d
BCRBG_02390___1981	1f
BCRBG_02414___1024	3d
BCRBG_02414___1579	1c
BCRBG_02421___2130	3d
BCRBG_02421___838	1f
BCRBG_02425___3304	1c
BCRBG_02441___1770	1c
BCRBG_02441___440	3b
BCRBG_02449___98	3d
BCRBG_02464___4579	1c
BCRBG_02468___2686	4f
BCRBG_02468___2867	4a
BCRBG_02474___1140	1a
BCRBG_02474___1686	3c
BCRBG_02474___544	3d
BCRBG_02550___918	3b
BCRBG_02554___29	3b
BCRBG_02554___543	3d
BCRBG_02554___867	3c
BCRBG_02557___70	1a
BCRBG_02557___726	3b
BCRBG_02567___1263	3b
BCRBG_02569___1073	3c
BCRBG_02569___901	3c
BCRBG_02582___2685	4b
BCRBG_02590___1048	3c
BCRBG_02590___1380	3c
BCRBG_02590___2558	4g
BCRBG_02590___452	3b
BCRBG_02596___11	4g
BCRBG_02596___119	3c
BCRBG_02596___1844	4g
BCRBG_02599___1721	3b
BCRBG_02603___744	3b
BCRBG_02603___977	3c
BCRBG_02628___866	3c
BCRBG_02642___508	1d
BCRBG_02643___1134	1f
BCRBG_02656___2	1l
BCRBG_02658___2244	1d
BCRBG_02668___1307	3b
BCRBG_02670___1887	1f
BCRBG_02670___228	3b
BCRBG_02680___1058	3b
BCRBG_02680___1264	3c
BCRBG_02689___2080	3c
BCRBG_02702___624	1a
BCRBG_02726___1125	4d
BCRBG_02726___1150	3d
BCRBG_02726___591	3b
BCRBG_02728___428	3c
BCRBG_02735___237	3b
BCRBG_02744___583	3b
BCRBG_02750___1040	4g
BCRBG_02750___419	4d
BCRBG_02753___183	3c
BCRBG_02759___998	4b
BCRBG_02772___1679	4d
BCRBG_02772___621	3b
BCRBG_02772___638	3b
BCRBG_02772___892	4d
BCRBG_02910___1854	4b
BCRBG_02916___33	1l
BCRBG_02916___964	4g
BCRBG_02922___1429	4g
BCRBG_02922___1653	3b
BCRBG_02922___39	4b
BCRBG_02956___2176	4e
BCRBG_02956___2923	1a
BCRBG_02967___42	3c
BCRBG_02968___1517	3b
BCRBG_02968___930	4g
BCRBG_02972___18	3c
BCRBG_02972___230	4g
BCRBG_02972___291	4g
BCRBG_02973___502	3c
BCRBG_02973___622	3b
BCRBG_02980___294	3d
BCRBG_02985___533	3c
BCRBG_02989___786	3b
BCRBG_02990___460	3d
BCRBG_02990___759	3c
BCRBG_02993___934	4g
BCRBG_02994___659	3d
BCRBG_02995___1527	3c
BCRBG_02996___10	3c
BCRBG_02996___19	3d
BCRBG_03002___218	1a
BCRBG_03002___872	3c
BCRBG_03016___1427	4g
BCRBG_03016___703	3d
BCRBG_03016___839	3c
BCRBG_03085___1158	3b
BCRBG_03169___705	3b
BCRBG_03188___35	3b
BCRBG_03264___1271	3b
BCRBG_03629___214	4f
BCRBG_03629___776	3b
BCRBG_03656___636	4f
BCRBG_03685___1246	1e
BCRBG_03685___2759	3b
BCRBG_03713___638	3b
BCRBG_03779___586	3b
BCRBG_03780___2916	3b
BCRBG_03780___4127	3c
BCRBG_03783___303	4d
BCRBG_03783___649	3b
BCRBG_03783___703	3c
BCRBG_03788___1744	3b
BCRBG_03790___553	3c
BCRBG_03790___993	4g
BCRBG_03791___3392	3b
BCRBG_03792___464	3b
BCRBG_03798___2331	1a
BCRBG_03799___153	1a
BCRBG_03799___298	3c
BCRBG_03801___1817	1e
BCRBG_03801___709	3b
BCRBG_03802___223	4g
BCRBG_03802___2343	3c
BCRBG_03803___1711	3c
BCRBG_03804___847	4g
BCRBG_03807___427	3b
BCRBG_03807___796	4d
BCRBG_03816___4262	4g
BCRBG_03817___327	4g
BCRBG_03818___79	3c
BCRBG_03820___1446	3c
BCRBG_03820___3585	1c
BCRBG_03822___180	3b
BCRBG_03823___444	3b
BCRBG_03833___1379	3c
BCRBG_03833___185	4g
BCRBG_03833___1987	3d
BCRBG_03833___2032	1e
BCRBG_03843___175	1b
BCRBG_03845___1796	3c
BCRBG_03849___1105	3d
BCRBG_03849___2154	3c
BCRBG_03849___609	3c
BCRBG_03849___611	1e
BCRBG_03851___448	3c
BCRBG_03851___823	1b
BCRBG_03877___351	3c
BCRBG_03892___1748	3b
BCRBG_03897___526	1a
BCRBG_03899___1717	1h
BCRBG_03899___231	3b
BCRBG_03903___400	1a
BCRBG_03910___2101	1a
BCRBG_03910___2104	3b
BCRBG_03913___1869	3c
BCRBG_03914___1640	3c
BCRBG_03914___2625	3b
BCRBG_03914___340	3d
BCRBG_03914___812	3c
BCRBG_03915___1054	4g
BCRBG_03915___1599	3b
BCRBG_03916___1438	3b
BCRBG_03917___49	1a
BCRBG_03917___510	3c
BCRBG_03920___2537	3c
BCRBG_03927___1686	1b
BCRBG_03928___2830	4g
BCRBG_03929___3059	3d
BCRBG_03931___248	3c
BCRBG_03932___3151	3c
BCRBG_03934___1075	1a
BCRBG_03934___420	3c
BCRBG_03937___551	3c
BCRBG_03939___1114	3b
BCRBG_03940___1782	1e
BCRBG_03940___216	3c
BCRBG_03940___433	4g
BCRBG_03940___443	3b
BCRBG_03940___475	1d
BCRBG_03940___900	1d
BCRBG_03942___1783	4g
BCRBG_03943___1838	3c
BCRBG_03943___757	3b
BCRBG_03944___3470	3b
BCRBG_03947___13	3c
BCRBG_03947___20	4g
BCRBG_03948___288	1b
BCRBG_03949___586	1a
BCRBG_03955___598	4b
BCRBG_03963___1440	3c
BCRBG_03963___692	4d
BCRBG_03963___79	3b
BCRBG_03966___2166	3d
BCRBG_03966___2729	2c
BCRBG_03966___312	3d
BCRBG_03969___1374	2b
BCRBG_03969___2496	4g
BCRBG_03969___2506	3b
BCRBG_03973___54	3b
BCRBG_03973___70	1e
BCRBG_03975___265	4g
BCRBG_03986___1199	3c
BCRBG_03986___140	3b
BCRBG_03986___147	3d
BCRBG_03986___1583	4g
BCRBG_03992___2287	1a
BCRBG_03992___2753	3c
BCRBG_03996___1466	4g
BCRBG_03996___2291	3c
BCRBG_03997___710	3b
BCRBG_03997___801	4d
BCRBG_03999___1385	3b
BCRBG_04005___222	3b
BCRBG_04005___2629	1f
BCRBG_04006___650	3b
BCRBG_04010___387	2c
BCRBG_04010___4844	3b
BCRBG_04010___5293	4e
BCRBG_04010___5453	4e
BCRBG_04012___782	3c
BCRBG_04015___3321	3d
BCRBG_04019___426	3c
BCRBG_04019___4695	3b
BCRBG_04019___4737	3c
BCRBG_04026___3103	3d
BCRBG_04028___1854	3b
BCRBG_04028___326	1a
BCRBG_04031___1533	4g
BCRBG_04033___1339	4g
BCRBG_04036___961	3b
BCRBG_04037___144	4g
BCRBG_04041___1945	3d
BCRBG_04041___2007	4d
BCRBG_04046___4704	1a
BCRBG_04046___4839	1c
BCRBG_04047___62	4g
BCRBG_04047___795	3c
BCRBG_04051___2085	1e
BCRBG_04051___3117	3d
BCRBG_04051___3181	1a
BCRBG_04051___952	3d
BCRBG_04055___419	1a
BCRBG_04055___959	3b
BCRBG_04056___1	4g
BCRBG_04056___1886	3c
BCRBG_04062___2707	3c
